|R01|00000000000000000001|S|IF     |SWEDA               |IF ST200            |01.00.01  |20101030|185909|000|10793118000178|123456        |10793118000178|00000000ISENTO|00000000ISENTO|T2TI.COM                                |T2Ti PDV                                |0100      |9e107d9d372bb6826bd81d3542a419d6|20101030|20101030|0105
|R02|00000000000000000001|S|IF ST200            |01|000000|000026|000002|36101028|36101028||1005,70| 
|R05|00000000000000000001|S|IF ST200            |01|000044|000021|002|6547445454745 |ARGILA                                                                                              |5,00|UND|3,30|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000044|000021|003|0611021032514 |ABACO VERSATIL                                                                                      |1,00|UND|70,40|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000044|000021|004|8888800000016 |ABSORVENTE                                                                                          |1,00|UND|1,90|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000045|000022|001|3011010827133 |TECIDO EM HELANCA                                                                                   |10,00|UND|1,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000045|000022|002|0312011604499 |SULFATO DE ALUMINIO                                                                                 |10,00|UND|2,30|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000045|000022|003|0001170000005 |BORRACHA PLASTICA - TK PEQUENA                                                                      |10,00|UND|0,70|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000045|000022|004|0001180000002 |BORRACHA PLASTICA - TK GRANDE                                                                       |10,00|UND|2,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000046|000023|001|3011010827133 |TECIDO EM HELANCA                                                                                   |10,00|UND|1,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000046|000023|002|0312011604499 |SULFATO DE ALUMINIO                                                                                 |10,00|UND|2,30|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000046|000023|003|0001170000005 |BORRACHA PLASTICA - TK PEQUENA                                                                      |10,00|UND|0,70|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000046|000023|004|0001180000002 |BORRACHA PLASTICA - TK GRANDE                                                                       |10,00|UND|2,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000047|000024|001|0001170000005 |BORRACHA PLASTICA - TK PEQUENA                                                                      |10,00|UND|0,70|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000047|000024|002|0001180000002 |BORRACHA PLASTICA - TK GRANDE                                                                       |10,00|UND|2,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000047|000024|003|0001190000009 |BORRACHA PLASTICA - TK NEON                                                                         |10,00|UND|1,50|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000047|000024|004|0001234567898 |FITA PAPEL CREPE                                                                                    |10,00|UND|5,80|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000048|000025|001|3011010827133 |TECIDO EM HELANCA                                                                                   |10,00|UND|1,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000048|000025|002|0312011604499 |SULFATO DE ALUMINIO                                                                                 |10,00|UND|2,30|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000048|000025|003|0001170000005 |BORRACHA PLASTICA - TK PEQUENA                                                                      |10,00|UND|0,70|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000048|000025|004|0001180000002 |BORRACHA PLASTICA - TK GRANDE                                                                       |10,00|UND|2,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000051|000026|001|1603041234428 |FERRO GALVANIZADO DE 1/2" C/3M                                                                      |1,00|UND|133,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000051|000026|002|0507021132142 |BUQUE DE ROSAS                                                                                      |1,00|UND|42,60|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000052|000027|001|0507021132142 |BUQUE DE ROSAS                                                                                      |1,00|UND|42,60|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000052|000027|002|2509021501148 |FOLHA DE PENTA GAMA                                                                                 |1,00|UND|4,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000052|000052|000|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000052|000052|000|2509021501148 |FOLHA DE PENTA GAMA                                                                                 |1,00|UND|4,00|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000052|000052|000|2608021532487 |PELE GROSSA 2/14                                                                                    |1,00|UND|21,00|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000053|000028|001|0507021132142 |BUQUE DE ROSAS                                                                                      |1,00|UND|42,60|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000053|000053|000|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000053|000053|000|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000053|000053|000|2608021532487 |PELE GROSSA 2/14                                                                                    |1,00|UND|21,00|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000054|000029|001|0507021132142 |BUQUE DE ROSAS                                                                                      |1,00|UND|42,60|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000054|000054|000|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000055|000030|001|0507021132142 |BUQUE DE ROSAS                                                                                      |1,00|UND|42,60|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000055|000055|000|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000056|000056|000|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000057|000031|001|0507021132142 |BUQUE DE ROSAS                                                                                      |1,00|UND|42,60|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000057|000031|002|2509021501148 |FOLHA DE PENTA GAMA                                                                                 |1,00|UND|4,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000057|000057|000|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000058|000032|001|2608021532487 |PELE GROSSA 2/14                                                                                    |1,00|UND|21,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000058|000058|000|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000059|000033|001|2608021532487 |PELE GROSSA 2/14                                                                                    |1,00|UND|21,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000059|000059|000|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000060|000034|001|2608021532487 |PELE GROSSA 2/14                                                                                    |1,00|UND|21,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000061|000035|001|2608021532487 |PELE GROSSA 2/14                                                                                    |1,00|UND|21,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000061|000061|000|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000062|000036|001|2608021532487 |PELE GROSSA 2/14                                                                                    |1,00|UND|21,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000062|000062|000|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000063|000037|001|2608021532487 |PELE GROSSA 2/14                                                                                    |1,00|UND|21,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000063|000063|000|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000064|000038|001|2608021532487 |PELE GROSSA 2/14                                                                                    |1,00|UND|21,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000064|000038|002|0506011104268 |BOLA DE BASQUETE                                                                                    |1,00|UND|53,10|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000065|000039|001|2608021532487 |PELE GROSSA 2/14                                                                                    |1,00|UND|21,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000065|000065|000|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000066|000066|000|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000067|000040|001|3011010827133 |TECIDO EM HELANCA                                                                                   |10,00|UND|1,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000067|000040|002|0312011604499 |SULFATO DE ALUMINIO                                                                                 |10,00|UND|2,30|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000067|000067|000|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000068|000041|001|0001170000005 |BORRACHA PLASTICA - TK PEQUENA                                                                      |10,00|UND|0,70|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000068|000041|002|0001180000002 |BORRACHA PLASTICA - TK GRANDE                                                                       |10,00|UND|2,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000068|000068|000|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000068|000068|000|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000069|000042|001|3011010827133 |TECIDO EM HELANCA                                                                                   |10,00|UND|1,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000069|000042|002|0312011604499 |SULFATO DE ALUMINIO                                                                                 |10,00|UND|2,30|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000069|000042|003|0001170000005 |BORRACHA PLASTICA - TK PEQUENA                                                                      |10,00|UND|0,70|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000069|000042|004|0001180000002 |BORRACHA PLASTICA - TK GRANDE                                                                       |10,00|UND|2,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000069|000069|000|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000069|000069|000|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000070|000043|001|0001170000005 |BORRACHA PLASTICA - TK PEQUENA                                                                      |10,00|UND|0,70|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000070|000043|002|0001180000002 |BORRACHA PLASTICA - TK GRANDE                                                                       |10,00|UND|2,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000070|000043|003|0001190000009 |BORRACHA PLASTICA - TK NEON                                                                         |10,00|UND|1,50|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000070|000043|004|0001234567898 |FITA PAPEL CREPE                                                                                    |10,00|UND|5,80|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000070|000070|000|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000070|000070|000|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000071|000044|001|2608021532487 |PELE GROSSA 2/14                                                                                    |1,00|UND|21,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000071|000071|000|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000071|000071|001|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000072|000045|001|2608021532487 |PELE GROSSA 2/14                                                                                    |1,00|UND|21,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000072|000045|002|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000072|000045|003|3107031936135 |GELADEIRA 320 LITROS                                                                                |1,00|UND|1423,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000072|000072|000|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000072|000072|001|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000073|000046|001|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000073|000046|002|0605021008457 |BICO P/ FOGAO                                                                                       |1,00|UND|1,70|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000073|000046|003|2504031743397 |GELADEIRA  280 LTS                                                                                  |1,00|UND|1123,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000073|000073|000|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000073|000073|001|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000074|000047|001|0605021008457 |BICO P/ FOGAO                                                                                       |1,00|UND|1,70|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000074|000047|002|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000074|000047|003|3107031936135 |GELADEIRA 320 LITROS                                                                                |1,00|UND|1423,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000074|000074|000|2509021501148 |FOLHA DE PENTA GAMA                                                                                 |1,00|UND|4,00|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000074|000074|001|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000075|000075|000|2509021501148 |FOLHA DE PENTA GAMA                                                                                 |1,00|UND|4,00|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000075|000075|001|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000076|000076|001|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000077|000077|001|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000078|000078|001|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000079|000048|001|0001180000002 |BORRACHA PLASTICA - TK GRANDE                                                                       |1,00|UND|2,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000079|000079|001|2106021651318 |MICROSCOPIO                                                                                         |1,00|UND|2617,50|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000080|000049|001|3011010827133 |TECIDO EM HELANCA                                                                                   |10,00|UND|1,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000080|000049|002|0312011604499 |SULFATO DE ALUMINIO                                                                                 |10,00|UND|2,30|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000080|000049|003|0001170000005 |BORRACHA PLASTICA - TK PEQUENA                                                                      |10,00|UND|0,70|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000080|000049|004|0001180000002 |BORRACHA PLASTICA - TK GRANDE                                                                       |10,00|UND|2,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000081|000050|001|0001180000002 |BORRACHA PLASTICA - TK GRANDE                                                                       |1,00|UND|2,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000083|000051|001|0001180000002 |BORRACHA PLASTICA - TK GRANDE                                                                       |1,00|UND|2,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000083|000051|002|0001190000009 |BORRACHA PLASTICA - TK NEON                                                                         |1,00|UND|1,50|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000083|000083|000|2509021501148 |FOLHA DE PENTA GAMA                                                                                 |1,00|UND|4,00|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000084|000052|001|0001190000009 |BORRACHA PLASTICA - TK NEON                                                                         |1,00|UND|1,50|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000084|000084|000|2509021501148 |FOLHA DE PENTA GAMA                                                                                 |1,00|UND|4,00|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000085|000053|001|0001190000009 |BORRACHA PLASTICA - TK NEON                                                                         |1,00|UND|1,50|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000085|000053|002|0407011150500 |FITA P/MAQUINA ELETRICA PERSON                                                                      |1,00|UND|29,80|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000085|000053|003|0507021132142 |BUQUE DE ROSAS                                                                                      |1,00|UND|42,60|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000085|000085|000|2509021501148 |FOLHA DE PENTA GAMA                                                                                 |1,00|UND|4,00|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000085|000085|000|2509021501148 |FOLHA DE PENTA GAMA                                                                                 |1,00|UND|4,00|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000085|000085|000|2509021501148 |FOLHA DE PENTA GAMA                                                                                 |1,00|UND|4,00|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000086|000054|001|0507021132142 |BUQUE DE ROSAS                                                                                      |1,00|UND|42,60|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000086|000086|000|2509021501148 |FOLHA DE PENTA GAMA                                                                                 |1,00|UND|4,00|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000087|000055|001|0507021132142 |BUQUE DE ROSAS                                                                                      |1,00|UND|42,60|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000087|000087|000|2509021501148 |FOLHA DE PENTA GAMA                                                                                 |1,00|UND|4,00|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000088|000056|001|0507021132142 |BUQUE DE ROSAS                                                                                      |1,00|UND|42,60|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000089|000057|001|0507021132142 |BUQUE DE ROSAS                                                                                      |1,00|UND|42,60|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000090|000058|001|1603041234428 |FERRO GALVANIZADO DE 1/2" C/3M                                                                      |1,00|UND|133,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000091|000059|001|1603041234428 |FERRO GALVANIZADO DE 1/2" C/3M                                                                      |1,00|UND|133,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000091|000059|002|0507021132142 |BUQUE DE ROSAS                                                                                      |1,00|UND|42,60|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000091|000059|003|2509021501148 |FOLHA DE PENTA GAMA                                                                                 |1,00|UND|4,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000091|000059|004|2608021532487 |PELE GROSSA 2/14                                                                                    |1,00|UND|21,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000091|000059|005|0506011104268 |BOLA DE BASQUETE                                                                                    |1,00|UND|53,10|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000092|000060|001|1603041234428 |FERRO GALVANIZADO DE 1/2" C/3M                                                                      |1,00|UND|133,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000094|000061|001|1603041234428 |FERRO GALVANIZADO DE 1/2" C/3M                                                                      |1,00|UND|133,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000094|000094|000|2509021501148 |FOLHA DE PENTA GAMA                                                                                 |1,00|UND|4,00|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
